1.000000000000000e-01	2.108995783571462e-01	1.665833531721075e-03	2.810211147261093e-03	2.082713403085207e-07
1.000000000000000e-02	2.055882393903747e-02	1.666658336062857e-05	3.281985415939611e-05	2.086943403901477e-11
1.000000000000000e-03	2.049950152670802e-03	1.666662891599858e-07	3.328218023648321e-07	7.685914132472321e-13
1.000000000000000e-04	2.049350807269617e-04	1.668750309677310e-09	3.326081239521600e-09	2.962595854257488e-12
1.000000000000000e-05	2.049289682803349e-05	4.979717943345530e-11	3.713921808221630e-11	4.979717943345530e-11
1.000000000000000e-06	2.049095264668721e-06	1.020984833610262e-10	2.448113015136379e-11	1.079311200561409e-09
1.000000000000000e-07	2.068555696093966e-07	3.266588821170776e-09	8.329773361666377e-09	8.547508397792419e-09
1.000000000000000e-08	2.837831455692673e-08	3.062391854448724e-09	3.062391854448724e-09	1.150785807149221e-07
1.000000000000000e-09	8.554333760422427e-08	8.554333760422427e-08	1.676158894205557e-07	2.543161555785511e-07
1.000000000000000e-10	4.652821781413943e-07	8.005139569825057e-07	2.066310092106406e-06	8.005139569825057e-07
